Provider;Resource Type;Resource Group Move;Subscription Move;Region Move;Documentation Link
Microsoft.Marketplace;register;No;No;No;
Microsoft.MarketplaceApps;classicdevservices;No;No;No;
Microsoft.MarketplaceOrdering;agreements;No;No;No;
Microsoft.MarketplaceOrdering;offertypes;No;No;No;
Microsoft.Media;mediaservices;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/media-services/latest/media-services-overview
Microsoft.Media;mediaservices / liveevents;Yes;Yes;No;
Microsoft.Media;mediaservices / streamingendpoin;;;;
Microsoft.Microservices4Spring;appclusters;No;No;No;
Microsoft.Migrate;assessmentprojects;No;No;No;
Microsoft.Migrate;migrateprojects;No;No;No;
Microsoft.Migrate;movecollections;No;No;No;
Microsoft.Migrate;projects;No;No;No;
Microsoft.MixedReality;remoterenderingaccounts;Yes;Yes;No;
Microsoft.MobileNetwork;mobileNetworks;No;No;Yes;
Microsoft.MobileNetwork;mobileNetworks / dataNetworks;No;No;Yes;
Microsoft.MobileNetwork;mobileNetworks / simPolicies;No;No;Yes;
Microsoft.MobileNetwork;mobileNetworks / sites;No;No;Yes;
Microsoft.MobileNetwork;mobileNetworks / slices;No;No;Yes;
Microsoft.MobileNetwork;packetCoreControlPlanes;No;No;Yes;
Microsoft.MobileNetwork;packetCoreControlPlanes / packetCoreDataPlanes;No;No;Yes;
Microsoft.MobileNetwork;packetCoreControlPlanes / packetCoreDataPlanes / attachedDataNetworks;No;No;Yes;
Microsoft.MobileNetwork;sims;No;No;Yes;
Microsoft.MobileNetwork;simGroups;No;No;Yes;
Microsoft.MobileNetwork;simGroups / sims;No;No;Yes;
Microsoft.MobileNetwork;packetCoreControlPlaneVersions;No;No;Yes;
Microsoft.NetApp;netappaccounts;No;No;No;
Microsoft.NetApp;netappaccounts / capacitypools;No;No;No;
Microsoft.NetApp;netappaccounts / capacitypools / volumes;No;No;No;
Microsoft.NetApp;netappaccounts / capacitypools / volumes / mounttargets;No;No;No;
Microsoft.NetApp;netappaccounts / capacitypools / volumes / snapshots;No;No;No;
Microsoft.Network;applicationgateways;No;No;No;
Microsoft.Network;applicationgatewaywebapplicationfirewallpolicies;No;No;No;
Microsoft.Network;applicationsecuritygroups;Yes;Yes;No;
Microsoft.Network;azurefirewalls;No;No;No;
Microsoft.Network;bastionhosts;Yes;No;No;
Microsoft.Network;bgpservicecommunities;No;No;No;
Microsoft.Network;connections;Yes;Yes;No;
Microsoft.Network;ddoscustompolicies;Yes;Yes;No;
Microsoft.Network;ddosprotectionplans;No;No;No;
Microsoft.Network;dnszones;Yes;Yes;No;
Microsoft.Network;expressroutecircuits;No;No;No;
Microsoft.Network;expressroutegateways;No;No;No;
Microsoft.Network;expressrouteserviceproviders;No;No;No;
Microsoft.Network;firewallpolicies;No;No;No;
